"id","name","code"
"__export__.account_cash_flow_55_ebe7263a","ACTIVIDADES OPERACIONAIS","1"
"__export__.account_cash_flow_56_a82ef23c","Recebimentos","11"
"__export__.account_cash_flow_57_49986cef","Clientes - Cobrança","1111"
"__export__.account_cash_flow_58_7af3856b","Clientes - Vendas a Dinheiro","1112"
"__export__.account_cash_flow_59_35176a4f","Pagamentos","12"
"__export__.account_cash_flow_60_8f62c79b","Despesas","121"
"__export__.account_cash_flow_61_c85e5803","Fornecedores ","1211"
"__export__.account_cash_flow_62_23c5319e","Salários","1212"
"__export__.account_cash_flow_63_6d3ec543","Despesas Gerais","1213"
"__export__.account_cash_flow_64_ccea2fcf","Impostos","122"
"__export__.account_cash_flow_65_c5398b93","Imposto Industrial","1221"
"__export__.account_cash_flow_66_079d9a2c","Imposto s/ Valor Acrescentado","1222"
"__export__.account_cash_flow_67_d344ad21","Imposto de Rendimento de Trabalho","1223"
"__export__.account_cash_flow_68_f498a1dd","Imposto de Selo","1224"
"__export__.account_cash_flow_69_dbe415b4","Impostos Industrial - Retenções","1225"
"__export__.account_cash_flow_70_29df0be5","Impostos Predial - Retenções","1226"
"__export__.account_cash_flow_71_369a4927","Imposto s/ Veiculos Automóveis","1227"
"__export__.account_cash_flow_72_3c8c7c5e","Impostos Predial - Património","1228"
"__export__.account_cash_flow_73_ed9d105f","Imposto Especial de Consumo","1229"
"__export__.account_cash_flow_74_07be2196","Contribuições","123"
"__export__.account_cash_flow_75_f745a753","Instituto Nacional de Segurança Social","1231"
"__export__.account_cash_flow_76_776512a4","Caixa / Bancos","13"
"__export__.account_cash_flow_77_a84d4abb","Transferencias entre Contas","1311"
"__export__.account_cash_flow_78_b903fe8e","ACTIVIDADES DE INVESTIMENTO","2"
"__export__.account_cash_flow_79_8d0796fa","Recebimentos","21"
"__export__.account_cash_flow_80_50432eb4","Imobilizações corpóreas","2111"
"__export__.account_cash_flow_81_cb8b4461","Imobilizações Incorpóreas","2112"
"__export__.account_cash_flow_82_366f23df","Investimentos Financeiros","2113"
"__export__.account_cash_flow_83_7ff99df9","Subsídios de Investimento","2114"
"__export__.account_cash_flow_84_c63934e4","Juros e Proveitos Similares","2115"
"__export__.account_cash_flow_85_f521d96a","Dividendos ou lucros","2116"
"__export__.account_cash_flow_86_c5a12bc7","Pagamentos","22"
"__export__.account_cash_flow_87_c5d6ec12","Imobilizações corpóreas","2211"
"__export__.account_cash_flow_88_3c928de6","Imobilizações incorpóreas","2212"
"__export__.account_cash_flow_89_ddf25a58","Investimentos financeiros","2213"
"__export__.account_cash_flow_90_3a3f3b97","ACTIVIDADES DE FINANCIAMENTO","3"
"__export__.account_cash_flow_91_9cf08830","Recebimentos","31"
"__export__.account_cash_flow_92_8c596114","Capital","3111"
"__export__.account_cash_flow_93_fd1bb8db","Empréstimos obtidos - Suprimentos","3112"
"__export__.account_cash_flow_94_e69682dd","Empréstimos obtidos - Bancários","3113"
"__export__.account_cash_flow_95_db086339","Empréstimos obtidos - Outros","3114"
"__export__.account_cash_flow_96_2a4d079a","Devolução de Empréstimos Concedidos","3115"
"__export__.account_cash_flow_97_431b53ee","Pagamentos","32"
"__export__.account_cash_flow_98_68289daf","Devolução de Capital","3211"
"__export__.account_cash_flow_99_41bb068d","Devolução Empréstimos obtidos - Suprimentos","3212"
"__export__.account_cash_flow_100_bf455b1a","Devolução de Empréstimos obtidos - Bancários","3213"
"__export__.account_cash_flow_101_7a28cc7d","Devolução de Empréstimos obtidos - Outros","3214"
"__export__.account_cash_flow_102_dcab2a3a","Empréstimos Concedidos","3215"
"__export__.account_cash_flow_103_c538b95a","Juros custos similares pagos","3216"
"__export__.account_cash_flow_104_a4eafc02","Dividendos ou lucros","3217"
