"id","name","code"
"__export__.account_iva_1_87454093","IVA Dedutível","2"
"__export__.account_iva_2_ad320c61","IVA Dedutível - Existências","21"
"__export__.account_iva_3_102ed0a8","IVA Dedutível - Meios Fixos e Investimento","22"
"__export__.account_iva_4_2332d5ad","IVA Dedutível - Outros Bens e Serviços","23"
"__export__.account_iva_5_e8d670b5","IVA  - Liquidado","3"
"__export__.account_iva_6_d09fddce","IVA  - Liquidado - Operações Gerais","31"
"__export__.account_iva_7_1afc5755","IVA  - Liquidado - Operações Abrangidas pelo Regime de IVA de Caixa","32"
"__export__.account_iva_8_2e40ba41","IVA  - Liquidado - Auto Consumo e Operações gratuitas","33"
"__export__.account_iva_9_44d60687","IVA  - Liquidado - Operações Especiais","34"
"__export__.account_iva_10_19832c3d","IVA - Regularizações","4"
"__export__.account_iva_11_28df9cff","IVA - Regularizações - Mensais a favor do Sujeito passivo","41"
"__export__.account_iva_12_4b0047ba","IVA - Regularizações - Mensais a favor do Estado","42"
"__export__.account_iva_13_5379bd95","IVA - Regularizações - Anual por cálculo do pró-rata definitivo","43"
"__export__.account_iva_14_f5a26456","IVA - Regularizações - Outras Regularizações Mensais","44"
"__export__.account_iva_15_8f0d71df","IVA - Recuperar","5"
"__export__.account_iva_16_dc8e8e70","IVA - Recuperar de Apuramento","51"
"__export__.account_iva_17_5305fc79","IVA - Recuperar de Cativo","53"
