"reconcile","id","account_type","code","name"
"False","l10n_ao.account_chart_id776","asset_current","1","MEIOS FIXOS E INVESTIMENTOS"
"False","l10n_ao.account_chart_id777","asset_current","11","Imobilizações corpóreas"
"False","l10n_ao.account_chart_id778","asset_current","111","Terrenos e recursos naturais"
"True","l10n_ao.account_chart_id779","asset_fixed","1111","Terrenos em bruto"
"True","l10n_ao.account_chart_id780","asset_fixed","1112","Terrenos com Arranjos"
"True","l10n_ao.account_chart_id781","asset_fixed","1113","Subsolo"
"True","l10n_ao.account_chart_id782","asset_fixed","1114","Terrenos com Edifícios"
"True","l10n_ao.account_chart_id783","asset_fixed","11141","Relativos a Edifícios Industriais"
"True","l10n_ao.account_chart_id784","asset_fixed","11142","Relativos a Edifícios Administrativos e Comerciais"
"True","l10n_ao.account_chart_id785","asset_fixed","11143","Relativos a outros Edifícios"
"False","l10n_ao.account_chart_id786","asset_fixed","112","Edifícios e Outras Construções"
"True","l10n_ao.account_chart_id787","asset_fixed","1121","Edifícios"
"True","l10n_ao.account_chart_id788","asset_fixed","11211","Integrados em Conjuntos Industriais"
"True","l10n_ao.account_chart_id789","asset_fixed","11212","Integrados em Conjuntos Administrativos e Comerciais"
"True","l10n_ao.account_chart_id790","asset_fixed","11213","Outros Conjuntos Industriais"
"True","l10n_ao.account_chart_id791","asset_fixed","11214","Implatados em Propriedade Alheia"
"True","l10n_ao.account_chart_id792","asset_fixed","1122","Outras construções"
"True","l10n_ao.account_chart_id793","asset_fixed","1123","Instalações"
"False","l10n_ao.account_chart_id794","asset_fixed","113","Equipamentos Básicos"
"True","l10n_ao.account_chart_id795","asset_fixed","1131","Materiais Industriais"
"True","l10n_ao.account_chart_id796","asset_fixed","1132","Ferramentas Industriais"
"True","l10n_ao.account_chart_id797","asset_fixed","1133","Melhoramentos em equipamentos básicos"
"False","l10n_ao.account_chart_id798","asset_fixed","114","Equipamentos de carga e transporte"
"True","l10n_ao.account_chart_id799","asset_fixed","1141","................"
"True","l10n_ao.account_chart_id800","asset_fixed","115","Equipamento Administrativo"
